taxonID,scientificName,parser_run
91f428b0-7f6a-558c-87c2-778b9e7b0ebd,Albula vulpes,1
43050ada-9e63-5318-81e0-79a4179bbda5,Alca2,
7c2e4f8b-683e-5d84-8e24-2c4f3b75d193,Alcedo atthis,1
0c903a93-94b7-59b8-8290-9280fb19bbcf,Alcelaphus buselaphus,1
427d2d32-03db-59b6-ac4a-538207652ade,Alcelaphus lichtensteinii,1
5e98eb69-07e8-508c-a75f-f7d691e5f8c1,Alces alces,1
1954ba8d-d9b2-52a5-a822-d3e9a28d305f,Alcospira marginata,1
5ce2ebce-cf51-536d-9386-bbdcc6dd4633,Aldef5,
8d6be464-e83f-5191-86f4-b5d5b2818145,Alectryonia,1
78bc22fe-7a93-5b42-af8e-5f5657488c7e,Aletes,1
7dd0cb18-288c-5004-a343-e18ecea6e6e2,Alexteroon obstetricans,1
c76b14c5-c09d-5222-a004-e81561d75b15,Aleyrodidae,1
3f6ee929-0511-52f9-8cfe-52bffdf4215d,Alfae5,
6f0f0b52-bef5-572a-a5ab-d1b03b7c1a44,Algirosphaera,1
4098d2de-ea97-52d7-9f34-6c0df0b01032,Algirosphaera robusta,1
13fc7444-589f-55c9-9372-fa9f54e47645,Algoriphagus,1
5433252f-0361-5eb8-bb2b-363030e14720,Alinda fallax,1
6399f8b3-20d0-5bed-ba56-c36d8170694b,Alinda jugularis,1
abfadbb3-e93e-5d37-9875-34d9c9c7c6bd,Alinda stabilis,1
b0e2d6eb-df1b-5685-ae99-253a8354fa1c,Alinda viridana,1
f9232e76-3093-5ec6-af0a-2c6f8c765803,Aliofusus,1
3099fda6-f3e6-5b6e-ba9b-38e0e0d9443c,Alkalilimnicola ehrlichei,1
47d7552f-d12b-5ca4-90d3-95d48b401217,Alkaliphilus metalliredigenes,1
5724011a-2181-549c-ac11-5744421eaf9a,Allancastria.342,3
8a884478-a717-5f79-b9cf-b428c77ce1b1,Allemannites,1
34f74172-85f3-59b5-b9ac-584b350dcd72,Allemannites striatus,1
cf3874d9-1a53-5747-a617-4ee0469746d7,Allenopithecus nigroviridis,1
c7932818-40c0-5272-98ac-fe94831e74a1,Allium,1
f5f069ec-a9a2-5094-a3f5-2ab6fbcc4e7f,Allium cepa,1
ab525146-868a-54be-b7af-62c6f856c1f0,Allo1,
a0613d22-0287-5dd6-a3bd-c13fb4e476dd,Allobates alagoanus,1
